likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,rui_ro_vong_tron,sample_weight
4.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,-0.4000000000000003,-2.4000000000000004,0.5999999999999996,0.5999999999999996,-0.4000000000000003,0.5999999999999996,-0.4000000000000003,0.5999999999999996,0.5999999999999996,0.5999999999999996,4.4,0.916515138991168,,,6.8,5.75,,,,6.6,,,,,-0.5532391062399366,-1.9053488150995492,,,,-0.6276799369861803,,,6.383333333333333,1.0499999999999998,-1.028755952775222,-0.5532391062399366,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510401,6,ttth,0,1.0
3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,-0.5,0.5,-0.5,1.5,-0.5,0.5,0.5,0.5,-1.5,-0.5,3.5,0.806225774829855,,,,6.5,,,,,5.75,6.8,,,,-1.0212107340432657,,,,,-2.013278254791784,-0.2752190505757829,6.3500000000000005,1.0499999999999998,-1.103236013136944,-0.2752190505757829,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7420201,7,ttth,0,1.0
3.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,0.2999999999999998,-1.7000000000000002,0.2999999999999998,1.2999999999999998,1.2999999999999998,-0.7000000000000002,-0.7000000000000002,0.2999999999999998,1.2999999999999998,-1.7000000000000002,2.7,1.1,,,,6.8,,,,6.5,7.25,,,,,-0.6675555016207524,,,,-0.7359850067370995,-0.1769880450691388,,6.8500000000000005,0.75,-0.5268428511423302,-0.1769880450691388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7510202,5,ttth,0,1.0
5.0,1.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,1.7999999999999998,-2.2,0.7999999999999998,1.7999999999999998,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,0.7999999999999998,-1.2000000000000002,-1.2000000000000002,3.2,1.2489995996796797,,,,8.0,,,,7.75,7.4,,,,,0.7470654280693014,,,,0.6178283651493949,0.006640975903126,,7.716666666666666,0.5999999999999996,0.4571782563739408,0.7470654280693014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510203,5,ttth,0,1.0
5.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,0.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.4142135623730951,,,,8.0,,,,7.5,7.75,,,,,0.7470654280693014,,,,0.347065690772096,0.4351086915050761,,7.75,0.5,0.5097466034488245,0.7470654280693014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340101,1,ttth,0,1.0
2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,-1.1,-0.1,-0.1,0.8999999999999999,-0.1,-0.1,0.8999999999999999,0.8999999999999999,-1.1,-0.1,3.1,0.7,7.2,,6.2,8.25,,,,,,,0.2174365415609164,,-1.132122221673738,1.0417781217547293,,,,,,,7.216666666666666,2.05,0.0423641472139692,1.0417781217547293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340129,7,ttth,0,1.0
3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,3.0,0.7745966692414834,,,8.2,7.2,,,,6.5,,,,,0.7974881631055998,-0.1960151917240674,,,,-0.7359850067370995,,,7.3,1.6999999999999993,-0.0448373451185224,0.7974881631055998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340129,7,ttth,0,1.0
3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,-0.7999999999999998,1.2000000000000002,-0.7999999999999998,-0.7999999999999998,0.2000000000000001,1.2000000000000002,0.2000000000000001,0.2000000000000001,0.2000000000000001,-0.7999999999999998,3.8,0.7483314773547882,7.8,,7.2,6.25,,,,,,,0.7564268421860999,,-0.1673170292840685,-1.3159234277286935,,,,,,,7.083333333333333,1.5499999999999998,-0.2422712049422207,0.7564268421860999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,ttth,0,1.0
2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,-2.3,-0.2999999999999998,0.7000000000000002,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,4.3,0.9,,,,5.5,,,,,6.25,6.2,,,,-2.200061508784977,,,,,-1.4011815182175686,-0.9235579505299514,5.983333333333333,0.75,-1.5082669925108323,-0.9235579505299514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7540105,7,ttth,0,1.0
5.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.5,-1.5,0.5,0.5,-0.5,-0.5,-1.5,1.5,-0.5,-0.5,2.5,1.2041594578792296,,,,5.75,,,,6.25,7.2,,,,,-1.9053488150995492,,,,-1.0067476811143985,-0.2381977187265601,,6.3999999999999995,1.4500000000000002,-1.0500980716468358,-0.2381977187265601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7810201,4,ttth,0,1.0
