ma_khoi,khoi,n_nganh,top3,bua3,phan_tang,hon
7,"Thực phẩm, Sinh học & Môi trường",7,0.734006734006734,0.42857142857142855,True,0.30543530543530545
4,"Du lịch, Khách sạn & Ẩm thực",6,0.7412935323383084,0.5,True,0.24129353233830841
0,CNTT & Máy tính,4,0.8657407407407407,0.75,False,0.1157407407407407
1,Kinh doanh & Marketing,4,0.8208955223880597,0.75,False,0.07089552238805974
5,Cơ khí - Điện - Tự động hoá,4,0.8507462686567164,0.75,False,0.10074626865671643
6,Hoá - Vật liệu - Dệt may,4,0.873015873015873,0.75,False,0.12301587301587302
8,Luật & Ngôn ngữ,4,0.8666666666666667,0.75,False,0.1166666666666667
2,Tài chính & Kế toán,3,1.0,1.0,False,0.0
3,Logistics & Quản lý sản xuất,3,1.0,1.0,False,0.0
