ma_nganh,to_hop_thi,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin
7340101,A00,8.25,6.75,6.6,,,,,,,
7340101,D01,7.4,,,8.2,8.75,,,,,
7810201,D15,,,,8.5,6.5,,,6.0,,
7480202,A00,6.5,7.25,8.2,,,,,,,
7510301,D01,5.25,,,6.4,9.6,,,,,
7819010,D07,6.0,,6.8,6.6,,,,,,
7480201,A00,8.25,7.5,6.6,,,,,,,
7540204,D01,6.0,,,6.2,7.25,,,,,
7480201,D07,7.4,,7.75,7.8,,,,,,
7810201,A00,4.75,7.25,6.4,,,,,,,
7340101,D01,7.25,,,7.0,6.6,,,,,
7340201,D01,8.0,,,7.4,7.0,,,,,
7510202,D07,7.0,,5.8,7.4,,,,,,
7510202,A01,8.0,6.5,,7.0,,,,,,
7819009,D07,5.75,,6.8,6.2,,,,,,
7340101,A01,7.5,8.0,,7.6,,,,,,
7540106,D07,7.25,,6.8,7.4,,,,,,
7510301,A00,7.8,6.75,7.0,,,,,,,
7540101,A00,8.0,7.75,7.75,,,,,,,
7540101,D07,7.5,,8.2,7.4,,,,,,
7340120,A00,7.75,7.25,7.6,,,,,,,
7510303,A00,8.4,5.5,6.5,,,,,,,
7340120,D01,7.75,,,6.6,7.2,,,,,
7850101,A00,6.75,7.5,8.0,,,,,,,
7340301,A00,8.4,7.5,7.75,,,,,,,
7810103,D15,,,,7.0,7.0,,,7.4,,
7510202,A01,7.75,5.6,,8.6,,,,,,
7340129,A00,6.0,6.75,7.0,,,,,,,
7340301,A00,7.5,7.75,8.2,,,,,,,
7340122,A00,6.5,8.25,7.6,,,,,,,
7540101,D07,7.25,,7.0,7.8,,,,,,
7340115,D01,8.5,,,7.6,7.8,,,,,
7340129,D01,6.75,,,7.8,5.6,,,,,
7340129,D01,8.0,,,7.0,7.4,,,,,
7810201,D01,7.4,,,8.8,7.5,,,,,
