likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,diem_tb_z,diem_max_z,diem_min_z,gioi_tinh_ma,muc_tieu_ma,to_hop_A00,to_hop_A01,to_hop_B00,to_hop_B08,to_hop_C00,to_hop_C01,to_hop_C02,to_hop_C03,to_hop_D01,to_hop_D07,to_hop_D09,to_hop_D14,to_hop_D15,to_hop_X01,to_hop_X26,nhom_to_hop_TN,nhom_to_hop_XH,nhom_to_hop_HH
1,4,4,4,3,1,2,2,1,1,9.0,5.5,8.25,,,,,,,,0.47408423001953787,1.956239550416234,-1.6507764418842508,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,5,5,1,1,1,1,5,1,5.0,6.0,,6.0,,,,,,,-1.6459249092703672,-1.1329030787909076,-2.6249263716382916,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,3,3,4,4,4,5,4,4,,,,,8.5,8.5,,9.5,,,1.6276597432327673,2.49281092880797,0.9604744757675536,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,3,4,2,5,2,1,2,2,3,,,,7.25,5.75,5.25,,,,,-1.0943371861697264,-0.022420702703145525,-2.264018241572801,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,3,4,3,4,2,4,4,4,4,7.5,,,8.3,8.0,,,,,,0.7255855807284641,0.9885544725125939,0.23830232964578701,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,4,2,3,2,4,3,2,5,3,8.0,8.0,8.0,,,,,,,,0.8612765158317678,0.9385903735824647,0.8109480699026027,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,5,5,5,5,5,5,5,5,6.75,8.75,8.25,,,,,,,,0.7371745730032244,1.7154004182224794,-0.6206662807394365,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,4,4,4,4,2,5,1,5,9.0,8.0,,,9.0,,,,,,1.5885543672438864,1.956239550416234,0.9385903735824647,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,2,3,3,5,2,4,5,5,3,8.5,,,8.0,8.4,,,,,,1.1323846022880895,1.3835938101594183,0.6720940421041088,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,2,3,3,2,1,2,1,2,2,5.25,9.25,5.75,,,,,,,,-0.6045083046104578,2.2332737813158223,-2.3386035015098834,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,3,3,4,2,3,5,5,2,6.5,,,6.5,7.0,,,,,,-0.5058829436953393,0.10627576729222658,-0.9069891508678444,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,1,4,4,2,1,2,1,4,3,6.0,7.75,,8.75,,,,,,,0.1888758626074988,1.3666087869113632,-1.47963489112466,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,4,4,5,5,3,4,5,4,7.8,,8.75,6.5,,,,,,,0.5155802876162986,1.6817865365594191,-0.7169354475103998,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,4,2,3,3,3,2,3,3,4,8.6,7.5,,,9.0,,,,,,1.263224382144288,1.8708331777329612,0.4207170104891216,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,2,4,3,3,1,7.75,7.0,5.25,,,,,,,,-0.6152411005000425,0.5246251997741949,-2.273192148670101,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,5,5,5,5,5,5,5,5,7.75,,,5.0,,,9.0,,,,0.19572380470167547,2.16851115145574,-2.1059649371249085,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,4,4,5,5,4,4,3,5,7.0,6.0,,8.0,,,,,,,-0.2650508157659424,0.6720940421041088,-1.1329030787909076,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,4,3,5,4,4,4,3,4,5.5,,,4.5,7.0,,,,,,-1.5049932103618868,0.10627576729222658,-2.5689747669964116,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,5,4,3,2,2,3,2,3,2,7.0,,7.75,,,,6.25,,,,-0.14086384167441207,0.551792626493842,-0.6400407409060496,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,4,2,5,3,2,3,3,3,7.0,8.0,,7.0,,,,,,,0.116773781777513,0.9385903735824647,-0.3343434106110286,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,3,3,3,4,5,5,3,5,9.0,7.0,,7.0,,,,,,,0.5350525267243719,1.956239550416234,-0.253925617638897,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,2,2,3,1,1,5,2,3,7.75,8.5,,7.75,,,,,,,0.80722602120612,1.4564637366758078,0.44058912716835735,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,4,4,4,4,4,5,4,3,8.0,,8.0,,,,8.5,,,,1.1010348422524483,1.6578653528445058,0.8109480699026027,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,3,3,3,3,3,4,4,5,7.0,6.0,8.0,,,,,,,,-0.21098512846389997,0.8342911040102362,-1.1329030787909076,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,3,3,3,3,3,3,3,3,8.8,7.0,7.0,,,,,,,,0.44477403188464876,1.7271812543135086,-0.2957028060553409,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,2,5,4,5,2,3,3,1,6.0,8.75,,9.0,,,,,,,0.611293076314978,1.7154004182224794,-1.47963489112466,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,2,4,3,3,3,1,4,1,8.0,6.75,5.25,,,,,,,,-0.606112370972797,0.8109480699026027,-2.273192148670101,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,3,2,4,2,2,4,3,3,6.5,,,7.0,7.0,,,,,,-0.3515463337381716,0.10627576729222658,-0.9069891508678444,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,5,5,4,4,3,4,3,3,5,4.0,4.0,,,7.5,,,,,,-2.142399754471264,0.5474151199024102,-3.7702178521519225,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,4,2,4,3,1,1,2,4,3,6.0,,,,7.75,,,,8.0,,-0.6221168777654699,0.767984796207502,-1.47963489112466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,4,4,2,4,2,4,4,2,4,5.5,7.75,,,8.0,,,,,,-0.12802415561102953,0.9885544725125939,-2.0522806313814757,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,3,2,4,4,3,3,2,3,2,8.25,7.6,7.75,,,,,,,,0.7244517498775475,1.0972709400310106,0.5242916831077898,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,5,4,4,1,1,2,2,1,6.75,7.0,5.5,,,,,,,,-0.9028387681657882,-0.09715635260422148,-1.9906936711537067,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,3,3,5,4,3,5,4,4,8.3,9.2,8.2,,,,,,,,1.4654372816955104,2.1814864450064873,1.060289886023351,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,3,3,3,3,3,3,2,3,7.2,,,7.8,7.0,,,,,,0.16262692097981063,0.4868901101555075,-0.10528511450830218,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1,3,5,3,2,1,1,4,3,8.25,,9.0,5.25,,,,,,,0.39569864397255555,1.9642850140758132,-1.8744600221891572,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,3,4,3,3,3,3,3,3,5,6.5,,5.85,,5.75,,,,,,-1.1662525225772773,-0.9069891508678444,-1.5951958026307549,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,3,4,2,2,1,1,2,3,5,9.5,,,9.0,5.5,,,,,,0.9699522339939466,2.52888529067305,-1.2171422905383245,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,3,4,4,5,2,5,3,1,7.5,7.0,,6.0,,,,,,,-0.3462664334467791,0.23830232964578701,-1.1799452773819028,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,3,3,4,4,4,4,4,4,8.0,8.0,6.0,,,,,,,,0.10794724245471647,0.9385903735824647,-1.425696716120918,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,4,5,3,2,2,3,4,5,6.35,7.25,7.75,,,,,,,,-0.12173663916953244,0.551792626493842,-1.0787828729448894,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,4,4,4,4,4,4,4,4,8.5,7.0,,6.25,,,,,,,0.11266569836968184,1.3835938101594183,-0.9484403624461514,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,3,3,3,2,3,3,3,3,5.0,7.0,,7.0,,,,,,,-0.9920027806271366,-0.09715635260422148,-2.6249263716382916,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,5,5,3,2,2,1,3,1,8.25,5.5,,8.0,,,,,,,0.03952951341695621,1.0972709400310106,-1.6507764418842508,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,4,4,4,5,5,4,3,4,6.0,6.75,6.75,,,,,,,,-0.8046430696157628,-0.356093034150893,-1.47963489112466,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,4,4,1,3,1,1,3,3,7.0,7.0,8.0,,,,,,,,0.13426378026499539,0.8342911040102362,-0.3343434106110286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,3,3,3,4,4,4,4,4,7.3,,8.0,,,,7.5,,,,0.4933696310584445,0.8342911040102362,0.009244033543060552,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,3,4,3,2,3,4,2,4,7.3,7.0,,6.3,,,,,,,-0.3300172328400541,0.009244033543060552,-0.9021393794590012,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,4,3,3,3,3,5,3,4,7.0,,6.0,,,,7.0,,,,-0.5447040565737148,0.12592795701080217,-1.425696716120918,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,3,5,4,3,2,1,4,5,8.5,7.0,,,6.25,,,,,,0.24366806531071597,1.3835938101594183,-0.555433261623049,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,2,5,2,3,2,1,2,2,5,7.25,8.0,,7.25,,,,,,,0.2893830434655661,0.9385903735824647,-0.04802054048262081,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5,3,4,5,2,2,1,3,2,7.25,6.75,,7.75,,,,,,,0.012158517511614508,0.44058912716835735,-0.356093034150893,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,5,5,5,5,5,4,5,5,8.25,,,5.0,2.5,,,,,,-1.6242241344311081,1.0972709400310106,-3.8639784061994265,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,3,2,3,3,4,4,4,3,3,,,,,7.75,8.75,,9.0,,,1.3602419177866512,2.1042285800510236,0.767984796207502,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,5,3,4,5,3,5,1,4,6.75,5.25,6.75,,,,,,,,-1.0361935625806977,-0.5782012835717352,-1.9097131234309221,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,4,3,4,3,3,4,3,2,6.0,,5.0,,,,5.0,,,,-1.983993584915097,-1.47963489112466,-2.5556906261864953,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,5,5,5,5,4,5,4,4,7.0,7.5,6.5,,,,,,,,-0.2581087204033455,0.4207170104891216,-0.8606997610881294,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,2,5,4,1,1,1,4,2,7.5,,,8.25,8.0,,,,,,0.710151919732747,0.9885544725125939,0.23830232964578701,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,3,3,4,4,3,4,4,3,4,7.0,7.5,7.75,,,,,,,,0.21272207545731167,0.551792626493842,-0.3343434106110286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,4,4,5,2,1,1,1,1,8.25,6.0,8.5,,,,,,,,0.45455197342770925,1.3992880590430248,-1.1329030787909076,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,2,3,3,1,2,3,3,2,9.0,6.5,,5.75,,,,,,,-0.02341345253299491,1.956239550416234,-1.4114501923176541,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,4,4,3,1,1,5,2,3,,,,,7.0,8.25,,7.75,,,0.6504950166281881,1.1327727081586576,0.10627576729222658,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4,5,3,5,5,3,4,5,5,7.0,,,6.75,8.25,,,,,,0.12978340187733628,1.2091241488176858,-0.4854305325746484,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,4,3,3,4,5,4,2,3,3,8.0,5.75,7.75,,,,,,,,-0.00969968798037816,0.8109480699026027,-1.3918397603375792,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,5,5,2,3,5,2,4,2,8.2,7.25,6.75,,,,,,,,0.20786180379201435,1.0400063660053283,-0.5782012835717352,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
