ma_khoi,khoi,n_nganh,n_sv,top3,bua3,hon
1,Kinh doanh & Quản lý,10,27,0.48148148148148145,0.3,0.18148148148148147
3,Kỹ thuật & Công nghệ,8,23,0.6521739130434783,0.375,0.27717391304347827
4,"Thực phẩm, Sinh học & Môi trường",7,17,0.8235294117647058,0.42857142857142855,0.3949579831932773
2,"Du lịch, Khách sạn & Ẩm thực",6,11,0.7272727272727273,0.5,0.2272727272727273
0,CNTT & Máy tính,4,13,0.9230769230769231,0.75,0.17307692307692313
5,Luật,2,5,1.0,1.0,0.0
6,Ngoại ngữ,2,6,1.0,1.0,0.0
