likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,ips_likert_nang_dong,ips_likert_huong_noi,ips_likert_sang_tao,ips_likert_logic,ips_likert_to_mo,ips_likert_thi_nghiem,ips_likert_moi_truong,ips_likert_dinh_duong,ips_likert_tranh_luan,ips_likert_thiet_ke,likert_tb,likert_dolech,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,z_diem_Van,z_diem_Dia,z_diem_Anh,z_diem_Toan,z_diem_Gdktpl,z_diem_Tin,z_diem_Su,z_diem_Ly,z_diem_Hoa,z_diem_Sinh,diem_tb,diem_lech,z_tb,z_max,th_A00,th_A01,th_B00,th_B08,th_C00,th_C01,th_C02,th_C03,th_D01,th_D07,th_D09,th_D14,th_D15,th_X01,th_X26,gioi_tinh_nam,muc_tieu,ma_nganh,ma_nhom,nguon,rui_ro_vong_tron,sample_weight
4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,-1.7999999999999998,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,3.8,0.6,8.5,,6.0,7.5,,,,,,,1.385248859582148,,-1.3250832601516718,0.15764004069844578,,,,,,,7.333333333333333,2.5,0.07260188004297398,1.385248859582148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340201,2,khaosat,0,1.0
4.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,0.20000000000000018,-1.7999999999999998,0.20000000000000018,0.20000000000000018,1.2000000000000002,-0.7999999999999998,0.20000000000000018,-0.7999999999999998,1.2000000000000002,0.20000000000000018,3.8,0.8717797887081347,,,,8.0,,,,8.0,7.8,,,,,0.7470654280693014,,,,0.8885910395266937,0.49631836516249733,,7.933333333333334,0.20000000000000018,0.7106582775861642,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7380107,8,khaosat,0,1.0
4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,-0.7999999999999998,0.20000000000000018,-0.7999999999999998,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,3.8,0.39999999999999997,,,,8.0,,,,8.0,8.0,,,,,0.7470654280693014,,,,0.8885910395266937,0.7411570597921835,,8.0,0.0,0.7922711757960595,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,khaosat,0,1.0
3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,-0.3999999999999999,0.6000000000000001,0.6000000000000001,-1.4,0.6000000000000001,-1.4,0.6000000000000001,0.6000000000000001,-0.3999999999999999,0.6000000000000001,3.4,0.8,7.0,,7.8,7.6,,,,,,,0.03777310801918832,,0.4115660861497326,0.2755251181726165,,,,,,,7.466666666666666,0.7999999999999998,0.24162143744717915,0.4115660861497326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,khaosat,0,1.0
3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,-0.8999999999999999,0.10000000000000009,0.10000000000000009,1.1,1.1,-0.8999999999999999,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,3.9,0.7,,,7.5,8.0,,,,8.2,,,,,0.12212452843283203,0.7470654280693014,,,,1.105201179028532,,,7.8999999999999995,0.6999999999999993,0.6581303785102218,1.105201179028532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340301,2,khaosat,0,1.0
4.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.5,0.5,2.5,1.5,1.5,-1.5,-1.5,-1.5,-1.5,-1.5,2.5,1.5652475842498528,,,,8.0,,,,8.0,8.0,,,,,0.7470654280693014,,,,0.8885910395266937,0.7411570597921835,,8.0,0.0,0.7922711757960595,0.8885910395266937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340122,1,khaosat,0,1.0
3.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,0.10000000000000009,1.1,1.1,2.1,1.1,-0.8999999999999999,-1.9,-1.9,0.10000000000000009,-0.8999999999999999,2.9,1.3,,,,8.2,,,,7.6,8.0,,,,,0.982835583017643,,,,0.4553707605230152,0.7411570597921835,,7.933333333333333,0.5999999999999996,0.7264544677776139,0.982835583017643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,khaosat,0,1.0
3.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,0.10000000000000009,1.1,1.1,2.1,1.1,-0.8999999999999999,-1.9,-1.9,0.10000000000000009,-0.8999999999999999,2.9,1.3,,,,8.2,,,,7.6,8.0,,,,,0.982835583017643,,,,0.4553707605230152,0.7411570597921835,,7.933333333333333,0.5999999999999996,0.7264544677776139,0.982835583017643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7480201,0,khaosat,0,1.0
3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,-0.7999999999999998,2.2,0.20000000000000018,-0.7999999999999998,-1.7999999999999998,2.8,0.9797958971132712,,,,9.0,,,,,6.25,8.0,,,,1.9259162028110128,,,,,-1.4011815182175686,1.021458749332555,7.75,2.75,0.5153978113086665,1.9259162028110128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7850101,7,khaosat,0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,0.7000000000000002,-0.2999999999999998,0.7000000000000002,0.7000000000000002,3.3,0.45825756949558405,,,,7.8,,,,7.5,8.2,,,,,0.511295273120959,,,,0.347065690772096,0.9859957544218686,,7.833333333333333,0.6999999999999993,0.6147855727716411,0.9859957544218686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,khaosat,0,1.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,0.8999999999999999,-0.10000000000000009,-0.10000000000000009,3.1,0.3,,,8.0,8.0,,,,8.0,,,,,0.6045271246276667,0.7470654280693014,,,,0.8885910395266937,,,8.0,0.0,0.7467278640745539,0.8885910395266937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7340201,2,khaosat,0,1.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-0.30000000000000004,1.7,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,0.7,1.3,0.6403124237432848,,,8.0,9.0,,,,9.0,,,,,0.6045271246276667,1.9259162028110128,,,,1.9716417370358892,,,8.666666666666666,1.0,1.500695021491523,1.9716417370358892,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7340122,1,khaosat,0,1.0
4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.8999999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,3.9,0.3,8.0,,8.0,8.0,,,,,,,0.936090275727828,,0.6045271246276667,0.7470654280693014,,,,,,,8.0,0.0,0.7625609428082654,0.936090275727828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7340122,1,khaosat,0,1.0
2.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,-0.7999999999999998,0.20000000000000018,-0.7999999999999998,0.20000000000000018,1.2000000000000002,1.2000000000000002,-0.7999999999999998,1.2000000000000002,0.20000000000000018,-1.7999999999999998,2.8,0.9797958971132712,,,,6.0,,,,,8.0,8.25,,,,-1.6106361214141214,,,,,0.7411570597921835,1.2915999576467923,7.416666666666667,2.25,0.1407069653416181,1.2915999576467923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7540106,7,khaosat,0,1.0
2.0,4.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,-0.5,1.5,0.5,2.5,0.5,-0.5,-1.5,-0.5,-1.5,-0.5,2.5,1.2041594578792296,8.25,,,5.5,,,,9.5,,,1.160669567654988,,,-2.200061508784977,,,,2.513167085790487,,,7.75,4.0,0.49125838155349927,2.513167085790487,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7510303,5,khaosat,0,1.0
