ma_nganh,n_phieu,w,tin_nganh,tin_khoi,nganh
7510406,5,0.33333333333333326,0.33333333333333326,0.6666666666666667,Công nghệ kỹ thuật môi trường
7540105,6,0.3743589743589745,0.3743589743589745,0.6256410256410255,Công nghệ chế biến thủy sản
7510601,6,0.3743589743589745,0.3743589743589745,0.6256410256410255,Quản lý Công nghiệp
7819010,7,0.4109890109890111,0.4109890109890111,0.5890109890109889,Khoa học chế biến món ăn
7850101,8,0.4438095238095238,0.4438095238095238,0.5561904761904761,Quản lý tài nguyên và môi trường
7540106,8,0.4438095238095239,0.4438095238095239,0.5561904761904761,Đảm bảo chất lượng và an toàn thực phẩm
7380101,8,0.4438095238095238,0.4438095238095238,0.5561904761904761,Luật
7810101,8,0.4438095238095239,0.4438095238095239,0.5561904761904761,Du lịch
7510605,8,0.4438095238095239,0.4438095238095239,0.5561904761904761,Logistics và quản lý chuỗi cung ứng
7340123,8,0.4438095238095239,0.4438095238095239,0.5561904761904761,Kinh doanh thời trang và dệt may
7340129,9,0.47333333333333344,0.47333333333333344,0.5266666666666666,Quản trị kinh doanh thực phẩm
7819009,9,0.4733333333333334,0.4733333333333334,0.5266666666666666,Khoa học dinh dưỡng và ẩm thực
7460108,9,0.4733333333333334,0.4733333333333334,0.5266666666666666,Khoa học dữ liệu
7480202,10,0.5,0.5,0.5,An toàn thông tin
7810201,10,0.5,0.5,0.5,Quản trị khách sạn
7510202,10,0.5,0.5,0.5,Công nghệ chế tạo máy
7340120,12,0.5450980392156862,0.5450980392156862,0.4549019607843138,Kinh doanh quốc tế
7480107,13,0.5649122807017544,0.5649122807017544,0.43508771929824563,Trí tuệ nhân tạo
7520115,14,0.5831578947368423,0.5831578947368423,0.4168421052631577,Kỹ thuật nhiệt
7340205,14,0.5831578947368423,0.5831578947368423,0.4168421052631577,Công nghệ tài chính
7810202,14,0.5831578947368423,0.5831578947368423,0.4168421052631577,Quản trị nhà hàng và dịch vụ ăn uống
7540204,14,0.5831578947368423,0.5831578947368423,0.4168421052631577,"Công nghệ dệt, may"
7510402,15,0.5999999999999999,0.5999999999999999,0.40000000000000013,Công nghệ vật liệu
7220204,15,0.5999999999999999,0.5999999999999999,0.40000000000000013,Ngôn ngữ Trung Quốc
7340122,16,0.615238095238095,0.615238095238095,0.38476190476190497,Thương mại điện tử
7510303,17,0.6294372294372295,0.6294372294372295,0.37056277056277054,Công nghệ kỹ thuật điều khiển và TĐH
7380107,17,0.6294372294372295,0.6294372294372295,0.37056277056277054,Luật kinh tế
7510203,18,0.6426877470355733,0.6426877470355733,0.3573122529644267,Công nghệ kỹ thuật cơ điện tử
7810103,19,0.655072463768116,0.655072463768116,0.344927536231884,Quản trị dịch vụ du lịch và lữ hành
7340101,19,0.655072463768116,0.655072463768116,0.344927536231884,Quản trị kinh doanh
7340201,20,0.6666666666666665,0.6666666666666665,0.3333333333333335,Tài chính ngân hàng
7340115,20,0.6666666666666665,0.6666666666666665,0.3333333333333335,Marketing
7510401,20,0.6666666666666665,0.6666666666666665,0.3333333333333335,Công nghệ kỹ thuật hóa học
7220201,20,0.6666666666666665,0.6666666666666665,0.3333333333333335,Ngôn ngữ Anh
7510301,22,0.6873846153846154,0.6873846153846154,0.31261538461538463,Công nghệ kỹ thuật điện - điện tử
7420201,23,0.6968660968660969,0.6968660968660969,0.3031339031339031,Công nghệ sinh học
7340301,23,0.6968660968660969,0.6968660968660969,0.3031339031339031,Kế toán
7540101,40,0.8000000000000002,0.8000000000000002,0.19999999999999984,Công nghệ thực phẩm
7480201,40,0.8000000000000002,0.8000000000000002,0.19999999999999984,Công nghệ thông tin
