,top1,top3,top5,macro_f1,balanced_acc
Đoán lớp đông nhất,0.06968726163234175,0.1742181540808543,0.25784897025171616,0.003340885867875072,0.025641025641025647
Model phẳng 39 lớp,0.16902618866005595,0.36062039155860665,0.47617594711416233,0.12498676200827509,0.14163817663817665
2 tầng — nhân xác suất (β=0.6),0.1806661581489957,0.3693414696160691,0.4953318077803204,0.13728050855938445,0.15115384615384614
2 tầng — tư vấn (có điều kiện),0.3443935926773455,0.6886956521739129,0.8501703534197813,0.2662081351975771,0.2885897435897436
