,Số đặc trưng,top1,top3,top5,macro_f1,balanced_acc
Chỉ 10 câu sở thích,10,0.09763539282990083,0.2682532418001526,0.3989168573607933,0.08368772978878558,0.09521367521367521
Chỉ điểm thi,13,0.12715484363081617,0.24216628527841344,0.3344469870327994,0.0747675585831496,0.08867521367521367
Chỉ tổ hợp thi,18,0.1115026697177727,0.2648512585812357,0.35016018306636154,0.03495875798026789,0.06807692307692306
Sở thích + điểm thi,23,0.15157894736842104,0.33443173150266975,0.4425324180015256,0.1129592411945353,0.13286324786324782
Bỏ 10 câu sở thích,33,0.142883295194508,0.256094584286804,0.3605797101449275,0.0789494232933147,0.09606837606837607
TẤT CẢ 43 (bản chạy thật),43,0.1777116704805492,0.3605644546147978,0.477299771167048,0.13449731599052867,0.1558974358974359
