Chỉ số,Chỉ dòng thật,+ dữ liệu tổng hợp,Thay đổi
Khối ngành — Top-1,0.5139740655987797,0.5243630816170862,0.020213113294351437
Ngành — Top-1,0.174187643020595,0.18643783371472158,0.07032755298651229
Ngành — Top-3,0.3570556826849733,0.3553775743707094,-0.004699850459303522
Ngành — Top-5,0.4807170099160946,0.4912280701754386,0.021865380343372143
Ngành — macro-F1,0.12191734041936471,0.14355599715923603,0.17748629247849268
