n_estimators,max_depth,min_child_weight,reg_lambda,colsample_bytree,kp_train,kp_val,gap_kp,tv_train,tv_val,gap_tv,hop_le
150,3,3,5.0,0.4,0.8002103971245726,0.693126022913257,0.10708437421131567,0.9438941001139651,0.8899345335515548,0.0539595665624103,False
150,3,3,5.0,0.6,0.8076619619531866,0.7013093289689034,0.10635263298428321,0.9461734022968353,0.8948445171849427,0.0513288851118926,False
150,3,3,20.0,0.4,0.7707547996844043,0.6771685761047463,0.09358622357965796,0.9289033049881652,0.881342062193126,0.04756124279503915,True
150,3,3,20.0,0.6,0.7775927062330148,0.6771685761047463,0.10042413012826845,0.9306566143596038,0.8788870703764321,0.051769543983171684,False
150,3,10,5.0,0.4,0.783641623564478,0.6865793780687398,0.09706224549573816,0.9324975891996142,0.8878887070376432,0.04460888216197101,True
150,3,10,5.0,0.6,0.7912685193302358,0.689443535188216,0.10182498414201979,0.935302884193916,0.8903436988543372,0.04495918533957888,False
150,3,10,20.0,0.4,0.7559393354957482,0.6685761047463176,0.08736323074943064,0.9232050495309897,0.8780687397708674,0.045136309760122284,True
150,3,10,20.0,0.6,0.76374156219865,0.6726677577741408,0.09107380442450919,0.9260980099938634,0.8805237315875614,0.045574278406302016,True
150,4,3,5.0,0.4,0.8648198474620847,0.7148117839607201,0.15000806350136464,0.9683527658455334,0.9009819967266776,0.06737076911885587,False
150,4,3,5.0,0.6,0.8732357324449899,0.7144026186579379,0.158833113787052,0.970106075216972,0.9026186579378068,0.06748741727916518,False
150,4,3,20.0,0.4,0.8265100376961515,0.6996726677577741,0.12683736993837735,0.9490663627597089,0.8891162029459901,0.05995015981371876,False
150,4,3,20.0,0.6,0.8343122643990533,0.7021276595744681,0.13218460482458516,0.9516963268168669,0.8944353518821604,0.0572609749347065,False
150,4,10,5.0,0.4,0.8380818795476462,0.7078559738134206,0.13022590573422566,0.9531866397825897,0.8915711947626841,0.06161544501990557,False
150,4,10,5.0,0.6,0.8440431314105374,0.7099018003273322,0.13414133108320525,0.9552906110283159,0.9013911620294599,0.053899448998856014,False
150,4,10,20.0,0.4,0.8055579907074604,0.6935351882160393,0.11202280249142105,0.9392478302796529,0.8899345335515548,0.04931329672809803,False
150,4,10,20.0,0.6,0.8153765231875164,0.6968085106382979,0.11856801254921856,0.94275444902253,0.8907528641571195,0.05200158486541051,False
150,5,3,5.0,0.4,0.912948189708074,0.7250409165302782,0.18790727317779576,0.9832558955027615,0.9054828150572831,0.07777308044547837,False
150,5,3,5.0,0.6,0.9207504164109758,0.7279050736497545,0.19284534276122123,0.9846585429999123,0.9050736497545008,0.07958489324541151,False
150,5,3,20.0,0.4,0.8704304374506882,0.7115384615384616,0.1588919759122266,0.9652844744455159,0.8960720130932897,0.06921246135222625,False
150,5,3,20.0,0.6,0.8763040238450075,0.7201309328968903,0.15617309094811715,0.9670377838169545,0.898936170212766,0.06810161360418854,False
150,5,10,5.0,0.4,0.8758656965021479,0.7254500818330606,0.15041561466908726,0.9674761111598141,0.9005728314238952,0.06690327973591892,False
150,5,10,5.0,0.6,0.8827912685193302,0.7201309328968903,0.16266033562243987,0.9685280967826773,0.9013911620294599,0.06713693475321736,False
150,5,10,20.0,0.4,0.8362409047076357,0.7074468085106383,0.12879409619699733,0.9515209958797229,0.8932078559738135,0.05831313990590947,False
150,5,10,20.0,0.6,0.8464100990619795,0.707037643207856,0.1393724558541235,0.9547646182168844,0.8936170212765957,0.061147596940288707,False
250,3,3,5.0,0.4,0.8562286315420355,0.7168576104746317,0.13937102106740384,0.963969492416937,0.9071194762684124,0.056850016148524585,False
250,3,3,5.0,0.6,0.863066538090646,0.720949263502455,0.142117274588191,0.9659857981940914,0.9018003273322422,0.06418547086184911,False
250,3,3,20.0,0.4,0.8247567283247129,0.7054009819967266,0.11935574632798629,0.950293679319716,0.897708674304419,0.05258500501529695,False
250,3,3,20.0,0.6,0.8339616025247655,0.70949263502455,0.12446896750021552,0.9533619707197335,0.8956628477905073,0.05769912292922619,False
250,3,10,5.0,0.4,0.8374682212676426,0.707037643207856,0.13043057805978664,0.9561672657140352,0.898936170212766,0.05723109550126926,False
250,3,10,5.0,0.6,0.8463224335934075,0.7168576104746317,0.12946482311877583,0.9567809239940388,0.9046644844517185,0.05211643954232026,False
250,3,10,20.0,0.4,0.812132900850355,0.7049918166939444,0.10714108415641066,0.9444200929253966,0.8936170212765957,0.050803071648800935,False
250,3,10,20.0,0.6,0.8223020952046989,0.704582651391162,0.11771944381353683,0.9452967476111159,0.8952536824877251,0.05004306512339085,False
250,4,3,5.0,0.4,0.9163671429823792,0.7401800327332242,0.176187110249155,0.9832558955027615,0.9071194762684124,0.0761364192343491,False
250,4,3,5.0,0.6,0.9254843517138599,0.7409983633387889,0.18448598837507102,0.9856228631542036,0.9071194762684124,0.07850338688579117,False
250,4,3,20.0,0.4,0.8814762864907513,0.7262684124386252,0.1552078740521261,0.9705444025598317,0.9063011456628478,0.06424325689698385,False
250,4,3,20.0,0.6,0.8918208117822389,0.7279050736497545,0.1639157381324844,0.9741386867712808,0.9046644844517185,0.06947420231956225,False
250,4,10,5.0,0.4,0.89050582975366,0.7311783960720131,0.15932743368164692,0.973963355834137,0.9009819967266776,0.0729813591074594,False
250,4,10,5.0,0.6,0.8963794161479793,0.733633387888707,0.1627460282592723,0.9760673270798632,0.9046644844517185,0.07140284262814467,False
250,4,10,20.0,0.4,0.8597352502849128,0.7229950900163666,0.13674016026854618,0.960112211799772,0.9005728314238952,0.059539380375876805,False
250,4,10,20.0,0.6,0.8699044446392566,0.7242225859247136,0.1456818587145431,0.96274217585693,0.8997545008183306,0.06298767503859937,False
250,5,3,5.0,0.4,0.9599368808626282,0.7438625204582652,0.216074360404363,0.9940387481371088,0.9046644844517185,0.08937426368539025,False
250,5,3,5.0,0.6,0.9660734636626632,0.7483633387888707,0.2177101248737925,0.9958797229771194,0.9071194762684124,0.08876024670870697,False
250,5,3,20.0,0.4,0.9209257473481196,0.733633387888707,0.18729235945941258,0.9836942228456211,0.9030278232405892,0.08066639960503197,False
250,5,3,20.0,0.6,0.9301306215481722,0.7377250409165302,0.19240558063164193,0.9865871833084948,0.9063011456628478,0.08028603764564701,False
250,5,10,5.0,0.4,0.9259226790567195,0.7446808510638298,0.1812418279928898,0.983869553782765,0.9050736497545008,0.0787959040282642,False
250,5,10,5.0,0.6,0.9335495748224775,0.7397708674304418,0.19377870739203562,0.9861488559656352,0.9050736497545008,0.0810752062111344,False
250,5,10,20.0,0.4,0.8912071535022354,0.7254500818330606,0.16575707166917486,0.970106075216972,0.8997545008183306,0.07035157439864137,False
250,5,10,20.0,0.6,0.899272376610853,0.7311783960720131,0.16809398053883995,0.9728237047427019,0.9030278232405892,0.06979588150211269,False
