macro_f1,top3,gap,ty_le_that,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step
0.46881436870458987,0.8640884820747521,0.34329743796832235,1.0,4,0.05,600,0.9,0.4,3,2.0,100.0,0.1,0
0.46861886772006284,0.8728146453089245,0.4021431527098508,0.6,8,0.12,600,0.9,0.6,15,0.0,100.0,0.0,1
0.4657404371362014,0.8606254767353165,0.4038394579799884,0.4,8,0.2,600,0.8,0.4,6,0.0,30.0,0.0,3
0.4644992356444817,0.8518688024408849,0.45912001515582085,0.8,10,0.01,600,0.9,0.6,15,0.1,0.1,2.0,5
0.46439399601144676,0.8623798627002287,0.2640668950010719,0.6,3,0.12,600,0.7,0.6,6,10.0,1.0,0.0,0
0.4637359397582538,0.8553928299008391,0.3689257314926988,1.0,4,0.2,600,0.9,0.8,10,5.0,3.0,0.5,0
0.4625221604222742,0.8728146453089245,0.397721043159191,1.5,5,0.01,600,0.7,0.4,10,2.0,10.0,0.0,0
0.4621321641975151,0.8606254767353165,0.4347685995323632,2.0,6,0.03,600,0.9,0.8,50,0.0,3.0,0.0,1
0.46151814488376247,0.8554080854309689,0.4600152555301297,2.0,10,0.05,600,0.8,0.6,15,0.1,10.0,1.0,3
0.46136433012598693,0.8623493516399694,0.405538405547828,0.8,8,0.01,600,1.0,0.4,15,0.1,30.0,2.0,0
0.4596736214767283,0.8641037376048818,0.3445502360618796,1.5,4,0.03,600,0.6,0.6,30,0.0,10.0,1.0,1
0.4594998897324178,0.8605644546147978,0.33281045751633975,0.6,4,0.02,600,0.5,1.0,6,2.0,3.0,0.1,0
0.45938258626233025,0.853668954996186,0.39420942951296967,2.0,4,0.08,600,0.9,0.8,15,0.0,0.1,0.1,0
0.4593800990493107,0.8623646071700992,0.40509140854409403,1.5,4,0.02,600,0.8,1.0,6,0.0,0.1,1.0,5
0.45721249657419116,0.8623493516399694,0.4534545798995927,1.0,8,0.05,600,0.8,0.4,10,0.0,10.0,2.0,0
0.4564150499819898,0.8449580472921433,0.3031751444539168,0.25,10,0.02,600,0.5,1.0,10,5.0,1.0,0.0,0
0.45624396501661996,0.8641037376048818,0.3838091463384235,0.4,10,0.05,600,0.5,0.6,6,0.5,30.0,0.0,0
0.45552227273208334,0.8623646071700992,0.37854314672728995,1.5,4,0.02,600,0.8,1.0,15,2.0,10.0,0.0,3
0.4552998590890045,0.8658276125095348,0.4547847025919444,2.0,6,0.01,600,0.6,1.0,20,0.1,3.0,1.0,5
0.45506984986151694,0.8571319603356218,0.3075542294212371,0.25,6,0.03,600,0.6,0.4,1,5.0,0.1,0.0,0
0.45393168328738803,0.8675972540045767,0.4243130773794389,0.6,10,0.03,600,0.5,0.8,6,5.0,10.0,0.0,5
0.4537904815597109,0.8623493516399694,0.4077123185913063,0.6,6,0.05,600,0.8,0.3,6,2.0,0.1,2.0,5
0.4529235709255549,0.8570709382151029,0.324978786836372,0.8,4,0.03,600,0.9,1.0,6,10.0,1.0,0.0,1
0.4529157714491857,0.8571167048054921,0.25664149005648534,0.4,4,0.12,600,0.8,0.8,20,0.0,10.0,0.5,0
