Cấu hình,top1,top3,top5,f1
GĐ9 — tốt nhất theo Top-3,0.16733790999237225,0.37278413424866513,0.47559115179252476,0.12932021640166436
GĐ9 — thứ 2 theo Top-3,0.1550877192982456,0.36762776506483597,0.4616781083142639,0.10827212003682592
GĐ9 — thứ 3 theo Top-3,0.1724790236460717,0.36753623188405793,0.48073226544622427,0.1228207163672647
GĐ9 — tốt nhất theo mF1,0.19162471395881006,0.3396796338672769,0.4511365369946606,0.14278809342157758
