ma_nganh,n_phieu,w,tin_nganh,tin_nhom,nganh
7510406,6,0.42857142857142855,0.42857142857142855,0.5714285714285714,Công nghệ kỹ thuật môi trường
7540105,7,0.4666666666666667,0.4666666666666667,0.5333333333333333,Công nghệ chế biến thủy sản
7510601,7,0.4666666666666667,0.4666666666666667,0.5333333333333333,Quản lý Công nghiệp
7819010,8,0.5,0.5,0.5,Khoa học chế biến món ăn
7850101,9,0.5294117647058824,0.5294117647058824,0.47058823529411764,Quản lý tài nguyên và môi trường
7340123,9,0.5294117647058824,0.5294117647058824,0.47058823529411764,Kinh doanh thời trang và dệt may
7540106,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Đảm bảo chất lượng và an toàn thực phẩm
7380101,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Luật
7810101,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Du lịch
7510605,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Logistics và quản lý chuỗi cung ứng
7340129,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Quản trị kinh doanh thực phẩm
7819009,10,0.5555555555555556,0.5555555555555556,0.4444444444444444,Khoa học dinh dưỡng và ẩm thực
7460108,11,0.5789473684210527,0.5789473684210527,0.42105263157894735,Khoa học dữ liệu
7810201,12,0.6,0.6,0.4,Quản trị khách sạn
7480202,12,0.6,0.6,0.4,An toàn thông tin
7510202,12,0.6,0.6,0.4,Công nghệ chế tạo máy
7340120,14,0.6363636363636364,0.6363636363636364,0.36363636363636365,Kinh doanh quốc tế
7480107,15,0.6521739130434783,0.6521739130434783,0.34782608695652173,Trí tuệ nhân tạo
7810202,16,0.6666666666666666,0.6666666666666666,0.33333333333333337,Quản trị nhà hàng và dịch vụ ăn uống
7520115,16,0.6666666666666666,0.6666666666666666,0.33333333333333337,Kỹ thuật nhiệt
7340205,17,0.68,0.68,0.31999999999999995,Công nghệ tài chính
7540204,17,0.68,0.68,0.31999999999999995,"Công nghệ dệt, may"
7510402,18,0.6923076923076923,0.6923076923076923,0.3076923076923077,Công nghệ vật liệu
7220204,18,0.6923076923076923,0.6923076923076923,0.3076923076923077,Ngôn ngữ Trung Quốc
7340122,19,0.7037037037037037,0.7037037037037037,0.2962962962962963,Thương mại điện tử
7380107,20,0.7142857142857143,0.7142857142857143,0.2857142857142857,Luật kinh tế
7510303,20,0.7142857142857143,0.7142857142857143,0.2857142857142857,Công nghệ kỹ thuật điều khiển và TĐH
7510203,21,0.7241379310344828,0.7241379310344828,0.27586206896551724,Công nghệ kỹ thuật cơ điện tử
7810103,22,0.7333333333333333,0.7333333333333333,0.2666666666666667,Quản trị dịch vụ du lịch và lữ hành
7340101,22,0.7333333333333333,0.7333333333333333,0.2666666666666667,Quản trị kinh doanh
7510401,23,0.7419354838709677,0.7419354838709677,0.25806451612903225,Công nghệ kỹ thuật hóa học
7220201,23,0.7419354838709677,0.7419354838709677,0.25806451612903225,Ngôn ngữ Anh
7340201,24,0.75,0.75,0.25,Tài chính ngân hàng
7340115,24,0.75,0.75,0.25,Marketing
7510301,26,0.7647058823529411,0.7647058823529411,0.23529411764705888,Công nghệ kỹ thuật điện - điện tử
7420201,27,0.7714285714285715,0.7714285714285715,0.22857142857142854,Công nghệ sinh học
7340301,27,0.7714285714285715,0.7714285714285715,0.22857142857142854,Kế toán
7540101,47,0.8545454545454545,0.8545454545454545,0.1454545454545455,Công nghệ thực phẩm
7480201,47,0.8545454545454545,0.8545454545454545,0.1454545454545455,Công nghệ thông tin
