lat_cat,n,acc_top1,f1_macro,f1_weighted,precision_macro,recall_macro,auc_ovr
tư vấn · TRAIN+VAL,14426,0.8095799251351726,0.7678290571457571,0.8040723725671702,0.8423056525520511,0.7420479414413219,
tư vấn · TEST,2546,0.7199528672427337,0.6299770472270686,0.7067067697203482,0.6578460613884293,0.6196009990848322,
khám phá · TRAIN+VAL,14426,0.5049216692083738,0.4776946942839895,0.49448749266256903,0.5642925840651746,0.45138901494395084,0.9587675539196265
khám phá · TEST,2546,0.4222309505106049,0.3725060507046876,0.40656384043254135,0.424073157167125,0.3583207373876861,0.92744939022131
