tap,top1,top2,top3,top5
TRAIN+VAL · tư vấn,0.8095799251351726,0.9503673922085124,0.988007763759878,0.9995147650076251
TEST · tư vấn,0.7199528672427337,0.906127258444619,0.9728986645718775,0.9964650432050275
TRAIN+VAL · khám phá,0.5049216692083738,0.6791210314709553,0.7749202828226812,0.8792458061832802
TEST · khám phá,0.4222309505106049,0.603299293008641,0.7030636292223095,0.8177533385703064
