tang,k,hit_k,macro_hit_k,mrr,ndcg_k,hang_trung_vi,hang_trung_binh,n_nganh_duoi_50,n_nganh,mrr_doan_bua
TƯ VẤN (biết nhóm),2,0.906127258444619,0.8238275236133683,0.8416021396775519,0.8374158300050555,1.0,1.4120188531029065,3,39,0.5007884962049757
KHÁM PHÁ (cả 39),5,0.8177533385703064,0.7010539461228148,0.5929139339122846,0.6337520095273237,2.0,3.5416339355852315,7,39,0.10906520612657374
