ma_khoi,khoi,n_nganh,n_sv,top3,bua3,hon,mat
7,"Thực phẩm, Sinh học & Môi trường",7,297,0.7407407407407407,0.42857142857142855,0.31216931216931215,0.04471544715447155
4,"Du lịch, Khách sạn & Ẩm thực",6,201,0.7611940298507462,0.5,0.26119402985074625,0.027874564459930317
0,CNTT & Máy tính,4,216,0.875,0.75,0.125,0.0156794425087108
1,Kinh doanh & Marketing,4,201,0.746268656716418,0.75,-0.003731343283582045,0.029616724738675954
5,Cơ khí - Điện - Tự động hoá,4,201,0.8208955223880597,0.75,0.07089552238805974,0.02090592334494773
6,Hoá - Vật liệu - Dệt may,4,189,0.8888888888888888,0.75,0.13888888888888884,0.012195121951219518
8,Luật & Ngôn ngữ,4,180,0.8333333333333334,0.75,0.08333333333333337,0.01742160278745644
2,Tài chính & Kế toán,3,171,1.0,1.0,0.0,0.0
3,Logistics & Quản lý sản xuất,3,66,1.0,1.0,0.0,0.0
