i,w_that,hp_max_depth,hp_n_estimators,hp_learning_rate,hp_min_child_weight,hp_subsample,hp_colsample_bytree,hp_reg_lambda,hp_gamma,auto_top1,auto_top2,auto_top3,auto_top5,guided_top1,guided_top2,guided_top3,guided_top5,train_guided_top3,train_auto_top3,gap_top3,hop_le
0,1.0,3,400,0.06,3,0.8,0.8,1.0,0.5,0.19686411149825783,0.29965156794425085,0.37282229965156793,0.49825783972125437,0.3885017421602787,0.5627177700348432,0.6916376306620209,0.8519163763066202,0.9995644599303136,0.9943379790940766,0.30792682926829273,True
1,1.0,3,400,0.12,6,1.0,0.8,100.0,0.1,0.19686411149825783,0.29094076655052264,0.37630662020905925,0.4843205574912892,0.37456445993031356,0.5818815331010453,0.7020905923344948,0.8536585365853658,0.9795296167247387,0.8723867595818815,0.2774390243902439,True
2,2.0,6,200,0.06,3,0.7,0.8,100.0,0.1,0.18815331010452963,0.2961672473867596,0.3885017421602787,0.4930313588850174,0.37282229965156793,0.5557491289198606,0.6829268292682927,0.8449477351916377,0.990418118466899,0.9128919860627178,0.30749128919860624,True
3,1.0,6,400,0.06,3,0.7,0.4,30.0,0.5,0.1794425087108014,0.29094076655052264,0.3832752613240418,0.4930313588850174,0.3797909407665505,0.5487804878048781,0.6829268292682927,0.8501742160278746,0.9642857142857143,0.8706445993031359,0.28135888501742157,True
4,1.0,6,400,0.03,6,0.7,0.8,30.0,0.1,0.17770034843205576,0.2857142857142857,0.367595818815331,0.47735191637630664,0.3606271777003484,0.5487804878048781,0.6846689895470384,0.8484320557491289,0.9616724738675958,0.8087979094076655,0.27700348432055744,True
5,2.0,6,200,0.12,6,1.0,0.8,1.0,0.1,0.18989547038327526,0.29442508710801396,0.3780487804878049,0.48257839721254353,0.3710801393728223,0.5662020905923345,0.6846689895470384,0.8641114982578397,1.0,1.0,0.31533101045296164,True
6,2.0,4,200,0.06,1,1.0,0.8,100.0,0.5,0.17770034843205576,0.29965156794425085,0.3902439024390244,0.5017421602787456,0.37456445993031356,0.5801393728222997,0.6968641114982579,0.8641114982578397,0.9799651567944251,0.9046167247386759,0.2831010452961672,True
7,1.0,6,200,0.03,12,0.8,0.4,5.0,0.5,0.1794425087108014,0.2804878048780488,0.3693379790940767,0.4738675958188153,0.3397212543554007,0.5522648083623694,0.686411149825784,0.8466898954703833,0.9316202090592335,0.7286585365853658,0.2452090592334495,True
8,4.0,4,200,0.12,3,0.7,0.4,30.0,0.5,0.19686411149825783,0.32926829268292684,0.41289198606271776,0.5139372822299652,0.3797909407665505,0.5801393728222997,0.7090592334494773,0.8658536585365854,1.0,1.0,0.2909407665505227,True
9,4.0,4,200,0.12,6,1.0,0.4,5.0,0.5,0.21080139372822299,0.313588850174216,0.39547038327526135,0.5226480836236934,0.39198606271777003,0.5766550522648084,0.710801393728223,0.8623693379790941,1.0,1.0,0.28919860627177696,True
10,2.0,4,400,0.12,3,1.0,0.4,1.0,0.5,0.2038327526132404,0.31881533101045295,0.4024390243902439,0.5121951219512195,0.3902439024390244,0.5801393728222997,0.6951219512195121,0.8658536585365854,1.0,1.0,0.30487804878048785,True
11,2.0,3,400,0.03,12,0.7,0.8,100.0,0.5,0.17247386759581881,0.2770034843205575,0.3588850174216028,0.47909407665505227,0.3623693379790941,0.5592334494773519,0.6898954703832753,0.8432055749128919,0.9272648083623694,0.7182055749128919,0.2373693379790941,True
12,1.0,4,400,0.03,12,0.8,0.6,30.0,0.1,0.17421602787456447,0.28397212543554007,0.3501742160278746,0.4808362369337979,0.33797909407665505,0.5557491289198606,0.6846689895470384,0.8484320557491289,0.9281358885017421,0.7225609756097561,0.24346689895470375,True
13,2.0,3,200,0.03,3,1.0,0.6,5.0,0.5,0.2038327526132404,0.3048780487804878,0.3989547038327526,0.5087108013937283,0.3832752613240418,0.5714285714285714,0.7003484320557491,0.867595818815331,0.9960801393728222,0.9355400696864111,0.2957317073170731,True
