ban,ks_p_tb,ks_dat,wasserstein,nang_luong,auc,auc_sd
Bản 1 — lấy mẫu Gauss,0.6138775296925152,0.94,0.15137592446148063,0.06287036062501379,0.5496272641369809,0.022184779111112232
Bản 2 — toán tử trên phiếu thật,0.27714533687993725,0.64,0.21876682071073955,0.16820157377141384,0.572694702863083,0.07091252060105295
