n_estimators,max_depth,min_child_weight,reg_lambda,colsample_bytree,kp_train,kp_val,gap_kp,tv_train,tv_val,gap_tv,hop_le
150,3,3,5.0,0.4,0.8005892255892256,0.6897093479968578,0.11087987759236784,0.9414141414141414,0.8853102906520032,0.0561038507621382,False
150,3,3,5.0,0.6,0.8058080808080809,0.6936370777690495,0.11217100303903138,0.9441919191919191,0.8908091123330715,0.053382806858847665,False
150,3,3,20.0,0.4,0.7685185185185185,0.678318931657502,0.09019958686101648,0.9281986531986532,0.8790259230164965,0.04917273018215673,True
150,3,3,20.0,0.6,0.773063973063973,0.6771406127258445,0.09592336033812854,0.9313973063973064,0.8813825608798115,0.05001474551749496,True
150,3,10,5.0,0.4,0.782996632996633,0.6889238020424194,0.0940728309542136,0.934006734006734,0.884917517674784,0.04908921633194996,True
150,3,10,5.0,0.6,0.7874579124579124,0.6857816182246661,0.10167629423324631,0.9341750841750842,0.8868813825608798,0.04729370161420443,False
150,3,10,20.0,0.4,0.7585858585858586,0.6669285153181461,0.09165734326771247,0.9222222222222223,0.8766692851531814,0.045552937069040844,True
150,3,10,20.0,0.6,0.7608585858585859,0.6708562450903378,0.09000234076824809,0.9242424242424242,0.8762765121759623,0.047965912066461946,True
150,4,3,5.0,0.4,0.8619528619528619,0.7124901806755696,0.14946268127729234,0.965993265993266,0.8939512961508248,0.07204196984244116,False
150,4,3,5.0,0.6,0.8732323232323232,0.7199528672427337,0.15327945598958959,0.968013468013468,0.8986645718774549,0.06934889613601314,False
150,4,3,20.0,0.4,0.8235690235690236,0.6983503534956795,0.12521867007334408,0.9486531986531986,0.8880597014925373,0.060593497160661314,False
150,4,3,20.0,0.6,0.8320707070707071,0.7026708562450903,0.12939985082561678,0.9521885521885521,0.8935585231736056,0.058630029014946516,False
150,4,10,5.0,0.4,0.8367003367003367,0.7117046347211312,0.12499570197920551,0.9535353535353536,0.8923802042419482,0.061155149293405375,False
150,4,10,5.0,0.6,0.8420875420875421,0.7117046347211312,0.1303829073664109,0.955050505050505,0.896700706991359,0.058349798059146085,False
150,4,10,20.0,0.4,0.8018518518518518,0.6928515318146111,0.1090003200372407,0.9382154882154882,0.8809897879025923,0.057225700312895866,False
150,4,10,20.0,0.6,0.8092592592592592,0.6928515318146111,0.11640772744464811,0.9402356902356902,0.8857030636292224,0.05453262660646785,False
150,5,3,5.0,0.4,0.9175925925925926,0.7293794186959938,0.18821317389659886,0.982996632996633,0.8982717989002357,0.0847248340963973,False
150,5,3,5.0,0.6,0.9226430976430976,0.7356637863315004,0.18697931131159717,0.9844276094276094,0.9053417124901807,0.07908589693742873,False
150,5,3,20.0,0.4,0.8669191919191919,0.7148468185388845,0.15207237338030732,0.9653198653198654,0.8947368421052632,0.07058302321460219,False
150,5,3,20.0,0.6,0.8761784511784512,0.713668499607227,0.16250995157122416,0.9688552188552189,0.899057344854674,0.06979787400054482,False
150,5,10,5.0,0.4,0.8781986531986532,0.716025137470542,0.16217351572811123,0.965993265993266,0.8951296150824823,0.07086365091078362,False
150,5,10,5.0,0.6,0.8834175084175084,0.7274155538098979,0.15600195460761057,0.969023569023569,0.8994501178318932,0.0695734511916758,False
150,5,10,20.0,0.4,0.8335016835016835,0.699528672427337,0.13397301107434656,0.9505050505050505,0.887274155538099,0.06323089496695156,False
150,5,10,20.0,0.6,0.8421717171717171,0.7097407698350353,0.13243094733668181,0.9516835016835017,0.8888452474469757,0.062838254236526,False
250,3,3,5.0,0.4,0.8547138047138048,0.7191673212882954,0.13554648342550935,0.9618686868686869,0.8978790259230165,0.06398966094567038,False
250,3,3,5.0,0.6,0.8622053872053872,0.723095051060487,0.1391103361449002,0.9629629629629629,0.8974862529457973,0.0654767100171656,False
250,3,3,20.0,0.4,0.8218855218855219,0.706598586017282,0.1152869358682399,0.9490740740740741,0.8931657501963864,0.05590832387768763,False
250,3,3,20.0,0.6,0.8286195286195286,0.7120974076983504,0.1165221209211782,0.9510942760942761,0.8951296150824823,0.05596466101179376,False
250,3,10,5.0,0.4,0.8367845117845117,0.7172034564021995,0.11958105538231223,0.9535353535353536,0.8974862529457973,0.056049100589556256,False
250,3,10,5.0,0.6,0.8438552188552189,0.7156323644933229,0.12822285436189595,0.9558080808080808,0.899057344854674,0.05675073595340674,False
250,3,10,20.0,0.4,0.8106902356902357,0.7034564021995287,0.10723383349070703,0.9420875420875421,0.8888452474469757,0.0532422946405664,False
