nganh_hoc,longstring,irv,mahalanobis_d2,vuot_longstring,vuot_irv,vuot_mahalanobis,so_vi_pham,bi_loai
Thương mại điện tử,2,1.2688577540449522,14.208936918367275,0,0,0,0,0
Công nghệ kỹ thuật điện - điện tử,3,0.8717797887081347,11.820697887828185,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,2,1.4317821063276353,26.012066583832848,0,0,0,0,0
Công nghệ thực phẩm,4,0.7810249675906654,7.243877841885181,0,0,0,0,0
Công nghệ thông tin,6,0.7483314773547882,4.621919268842957,0,0,0,0,0
Ngôn ngữ Anh,3,0.6708203932499369,5.932225388180244,0,0,0,0,0
An toàn thông tin,3,0.6633249580710799,10.488863251846137,0,0,0,0,0
Ngôn ngữ Anh,2,0.9219544457292888,10.673241870866054,0,0,0,0,0
Ngôn ngữ Anh,3,0.48989794855663565,4.000071321032934,0,0,0,0,0
Ngôn ngữ Anh,2,0.7999999999999999,6.9387752274879535,0,0,0,0,0
Ngôn ngữ Anh,3,0.7,7.108293442923653,0,0,0,0,0
Ngôn ngữ Anh,2,1.4317821063276353,26.9279174585189,0,0,0,0,0
Công nghệ kỹ thuật hóa học,2,1.0,11.303119227141197,0,0,0,0,0
Khoa học dữ liệu,2,1.1,6.786892215660292,0,0,0,0,0
Tài chính ngân hàng,5,1.32664991614216,10.191893480722994,0,0,0,0,0
Quản lý tài nguyên và môi trường,3,0.9,9.54685677155377,0,0,0,0,0
Công nghệ kỹ thuật hóa học,2,0.7810249675906654,8.33861253989855,0,0,0,0,0
Khoa học chế biến món ăn,2,1.3453624047073711,15.324111822554002,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,3,0.9165151389911681,5.940992506264456,0,0,0,0,0
Quản trị khách sạn,2,1.3564659966250536,16.81082567430935,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,4,1.004987562112089,10.434581732749017,0,0,0,0,0
Trí tuệ nhân tạo,2,1.5362291495737217,12.345315882367137,0,0,0,0,0
Thương mại điện tử,4,0.8717797887081347,6.7751984045838975,0,0,0,0,0
Quản lý Công nghiệp,2,1.1661903789690602,9.837445686536832,0,0,0,0,0
Kế toán,2,1.2,10.37128507233767,0,0,0,0,0
Công nghệ sinh học,3,1.3416407864998738,17.39570451278707,0,0,0,0,0
Luật,3,1.7204650534085253,25.003206526848142,0,0,0,0,0
Quản lý Công nghiệp,2,1.4000000000000001,13.178065788287897,0,0,0,0,0
Khoa học chế biến món ăn,2,1.2206555615733703,16.31792085551858,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,2,1.2041594578792296,13.670595215992256,0,0,0,0,0
Ngôn ngữ Anh,2,1.3,19.116431391001182,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,2,1.4142135623730951,10.664685236496,0,0,0,0,0
Công nghệ thông tin,3,0.7483314773547882,14.020020611823535,0,0,0,0,0
Marketing,1,0.7745966692414834,5.180945098307083,0,0,0,0,0
Marketing,2,1.2688577540449522,14.684263596294281,0,0,0,0,0
Logistics và quản lý chuỗi cung ứng,2,0.6,6.095972948255648,0,0,0,0,0
Công nghệ thông tin,3,0.7483314773547882,6.542560926355101,0,0,0,0,0
Công nghệ tài chính,2,1.445683229480096,11.983879060800996,0,0,0,0,0
Khoa học dinh dưỡng và ẩm thực,3,1.3,17.11194627944724,0,0,0,0,0
Du lịch,3,1.004987562112089,6.84339359562182,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,3,1.2806248474865698,11.064895947126855,0,0,0,0,0
Công nghệ tài chính,2,1.2806248474865698,12.654928189170626,0,0,0,0,0
Công nghệ kỹ thuật điện - điện tử,5,1.32664991614216,11.322440040158165,0,0,0,0,0
Khoa học dữ liệu,3,1.2041594578792296,5.584913193751612,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,2,1.42828568570857,15.880391362365586,0,0,0,0,0
Công nghệ tài chính,2,1.1661903789690602,9.063943995212927,0,0,0,0,0
Quản trị kinh doanh thực phẩm,2,1.0,9.76360564202303,0,0,0,0,0
Công nghệ thông tin,3,0.66332495807108,5.993738531827961,0,0,0,0,0
Khoa học chế biến món ăn,3,1.268857754044952,23.122118445026636,0,0,0,0,0
Công nghệ thực phẩm,10,0.0,0.8329679811025518,1,1,0,2,1
Đảm bảo chất lượng và an toàn thực phẩm,6,0.48989794855663565,2.280376065450266,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,3,1.1874342087037917,14.505126405832824,0,0,0,0,0
Công nghệ thực phẩm,1,0.9,7.8433961945507775,0,0,0,0,0
Công nghệ thông tin,8,0.7,4.480891448880658,0,0,0,0,0
Kỹ thuật nhiệt,3,0.9,10.621792328351198,0,0,0,0,0
Kỹ thuật nhiệt,10,0.0,5.258607074317781,1,1,0,2,1
Kế toán,4,0.6708203932499369,5.384428345205843,0,0,0,0,0
Tài chính ngân hàng,3,0.8717797887081347,9.095441626815093,0,0,0,0,0
Kỹ thuật nhiệt,2,1.118033988749895,18.913241718873323,0,0,0,0,0
Tài chính ngân hàng,3,0.9165151389911681,11.338948949970122,0,0,0,0,0
Công nghệ tài chính,10,0.0,11.995187939679855,1,1,0,2,1
Công nghệ tài chính,3,1.3,21.55761526547842,0,0,0,0,0
Công nghệ thông tin,2,0.806225774829855,7.065022256285928,0,0,0,0,0
Kỹ thuật nhiệt,3,1.1661903789690602,16.97900596797307,0,0,0,0,0
Công nghệ thông tin,4,0.6,5.464396860124951,0,0,0,0,0
Công nghệ thông tin,7,0.3,3.1697111384248298,0,0,0,0,0
Công nghệ tài chính,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ tài chính,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ tài chính,2,1.1135528725660044,17.05749685971989,0,0,0,0,0
Kế toán,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ tài chính,3,0.806225774829855,11.504756165146542,0,0,0,0,0
Kế toán,3,0.9165151389911681,10.500506706754964,0,0,0,0,0
Kế toán,2,0.7745966692414834,6.218161164402529,0,0,0,0,0
Công nghệ sinh học,3,1.1661903789690602,11.12583546972515,0,0,0,0,0
Công nghệ thực phẩm,2,0.6,4.815861964316115,0,0,0,0,0
Công nghệ sinh học,2,0.7000000000000001,6.8493704483377575,0,0,0,0,0
Quản trị kinh doanh thực phẩm,10,0.0,11.995187939679855,1,1,0,2,1
Quản trị kinh doanh thực phẩm,9,0.3,1.261384295976569,0,0,0,0,0
Ngôn ngữ Anh,2,0.48989794855663565,3.181955674059704,0,0,0,0,0
Công nghệ sinh học,2,0.7,4.1819629549576725,0,0,0,0,0
Công nghệ sinh học,5,0.8306623862918073,6.682547727170046,0,0,0,0,0
Công nghệ vật liệu,3,0.9165151389911681,11.591219598253934,0,0,0,0,0
Công nghệ kỹ thuật điện - điện tử,7,0.39999999999999997,2.338774787637134,0,0,0,0,0
Công nghệ sinh học,9,0.3,1.8917831128624008,0,0,0,0,0
Công nghệ kỹ thuật điện - điện tử,3,1.004987562112089,6.3654841875709955,0,0,0,0,0
Công nghệ sinh học,2,1.1357816691600549,16.078054166478992,0,0,0,0,0
Công nghệ sinh học,3,1.1357816691600546,11.027436141728755,0,0,0,0,0
Công nghệ thực phẩm,2,0.8717797887081347,7.178878818797422,0,0,0,0,0
Công nghệ sinh học,4,0.5,5.080794535642093,0,0,0,0,0
Công nghệ sinh học,6,0.8000000000000002,9.964225316897748,0,0,0,0,0
Công nghệ sinh học,5,0.6,6.562716227523401,0,0,0,0,0
An toàn thông tin,3,1.9000000000000001,31.889789873393276,0,0,1,1,0
Công nghệ sinh học,10,0.0,5.258607074317781,1,1,0,2,1
Kế toán,2,1.4966629547095767,26.368788679442265,0,0,0,0,0
Kế toán,3,0.6633249580710799,6.850401480298765,0,0,0,0,0
Công nghệ kỹ thuật hóa học,10,0.0,5.258607074317781,1,1,0,2,1
Kế toán,10,0.0,0.8329679811025518,1,1,0,2,1
