ban,ks_p_tb,ks_dat,wasserstein,nang_luong,auc,auc_sd
Bản 1 — lấy mẫu Gauss,0.6456401050936171,0.94,0.1455295918167772,0.0608554363145279,0.5366709238722968,0.027047818382206518
Bản 2 — toán tử trên phiếu thật,0.4009717077723281,0.78,0.21146411038745136,0.14759701958232938,0.5325133225110342,0.025431352384882335
