lat_cat,n,acc_top1,f1_macro,f1_weighted,precision_macro,recall_macro,auc_ovr
tư vấn · TRAIN+VAL,13851,0.8148870117681034,0.7596859614589183,0.8092088314675717,0.8304853131026644,0.7366162182215334,
tư vấn · TEST,2445,0.7312883435582822,0.6366546262427202,0.720583323239936,0.6949441577038465,0.6239035651920203,
tư vấn · NGƯỜI THẬT,676,0.5887573964497042,0.529156337093031,0.5661287329241967,0.6017128187587121,0.5590350373356348,
khám phá · TRAIN+VAL,13851,0.50682261208577,0.4800023314975969,0.4964070638204675,0.5837794906039625,0.4521496995092255,0.9593253510117702
khám phá · TEST,2445,0.4274028629856851,0.37018848010027267,0.41372997760219843,0.4285398816120238,0.3486593243064276,0.935162748749359
khám phá · NGƯỜI THẬT,676,0.3062130177514793,0.2701771496980796,0.2766082092619008,0.299466024159575,0.30320946480478395,0.8715866963286566
