tap,top1,top2,top3,top5
TRAIN+VAL · tư vấn,0.8148870117681034,0.950833874810483,0.9880153057540971,0.99949462132698
TEST nội bộ · tư vấn,0.7312883435582822,0.9132924335378323,0.9754601226993865,0.9975460122699387
KHẢO SÁT · tư vấn,0.5887573964497042,0.7855029585798816,0.8846153846153846,0.9807692307692307
KHẢO SÁT 34 ngành · tư vấn,0.5673076923076923,0.7724358974358975,0.875,0.9791666666666666
TRAIN+VAL · khám phá,0.50682261208577,0.680095299978341,0.7776333838712006,0.8807306331672803
TEST nội bộ · khám phá,0.4274028629856851,0.6016359918200409,0.7141104294478527,0.8274028629856851
KHẢO SÁT · khám phá,0.3062130177514793,0.43047337278106507,0.5133136094674556,0.599112426035503
KHẢO SÁT 34 ngành · khám phá,0.2692307692307692,0.40224358974358976,0.48878205128205127,0.5769230769230769
