cau_hinh,top1,bua1,hon1,kn1,top2,bua2,hon2,kn2,top3,bua3,hon3,kn3,top5,bua5,hon5,kn5
khám phá,0.14705882352941177,0.02564102564102564,0.12141779788838614,0.12461300309597524,0.28431372549019607,0.05128205128205128,0.2330316742081448,0.2456279809220986,0.35294117647058826,0.07692307692307693,0.27601809954751133,0.29901960784313725,0.47058823529411764,0.1282051282051282,0.34238310708898945,0.39273356401384085
tư vấn,0.38235294117647056,0.23541083099906626,0.1469421101774043,0.1921843993283468,0.6666666666666666,0.4708216619981325,0.1958450046685341,0.37009263343625937,0.8627450980392157,0.7062324929971989,0.1565126050420168,0.532777115613826,0.9901960784313726,0.9344070961718021,0.05578898225957052,0.850533807829182
