moc,n_train,tv_val,kp_val,tv_train,kp_train
1 · ngành đông nhất,0,0.7119476268412439,0.23036006546644844,,
2 · bừa trong nhóm,0,0.47625867040760655,0.07692307692307693,,
3 · chỉ 15 cột tổ hợp,11407,0.7520458265139116,0.3117839607201309,0.7617252564214956,0.31226439905321296
4 · bỏ 5 ngành vòng tròn (10.987 dòng),10987,0.8707037643207856,0.707037643207856,0.9548522836854563,0.9146138336109406
MÔ HÌNH đủ dữ liệu,11407,0.9046644844517185,0.7581833060556464,0.9993863417199965,0.9918471114228106
