moc,n_train,tv_val,kp_val,tv_train,kp_train
1 · ngành đông nhất,0,0.7085624509033779,0.22820109976433622,,
2 · bừa trong nhóm,0,0.4759940897018666,0.07692307692307693,,
3 · chỉ 15 cột tổ hợp,11880,0.7486252945797329,0.30832678711704636,0.7581649831649832,0.3111111111111111
4 · chỉ nguồn khảo sát (437 dòng),437,0.7007069913589945,0.3798114689709348,0.7164983164983165,0.41548821548821546
MÔ HÌNH đủ dữ liệu,11880,0.9096622152395916,0.7564807541241163,0.9992424242424243,0.990993265993266
