lat_cat,n,acc_top1,f1_macro,f1_weighted,precision_macro,recall_macro,auc_ovr
đủ dữ liệu · tư vấn TRAIN,11880,0.9815656565656565,0.9881889244004651,0.9815307199893123,0.9900040320880178,0.986512714015152,
đủ dữ liệu · tư vấn VAL,2546,0.730164964650432,0.6639863634332712,0.7239136325930213,0.6952301043168715,0.6503472539451023,
đủ dữ liệu · khám phá TRAIN,11880,0.9217171717171717,0.9536979869973111,0.9223729389708958,0.9620029805048548,0.9461881350827546,0.99870806290217
đủ dữ liệu · khám phá VAL,2546,0.483503534956795,0.46242958402181134,0.47557133273243546,0.49837348779982105,0.44553229784695414,0.9408930220095294
chỉ khảo sát · tư vấn VAL,2546,0.4552238805970149,0.3530803084095685,0.4467863697188182,0.3861499425091368,0.39480405063012197,
chỉ khảo sát · khám phá VAL,2546,0.19324430479183033,0.12430907168400655,0.17311468207212213,0.13368813058521517,0.15594946972021775,0.765889935780948
